 
  ,time,x,y,z
, 19.050, -0.049, 0.976, -0.811
, 19.100, -0.041, 0.984, -0.819
, 19.150, -0.041, 0.984, -0.819
, 19.200, -0.049, 0.984, -0.811
, 19.250, -0.049, 0.984, -0.836
, 19.300, -0.056, 0.984, -0.836
, 19.350, -0.056, 0.976, -0.844
, 19.400, -0.056, 0.984, -0.836
, 19.450, -0.049, 0.984, -0.844
, 19.500, -0.056, 0.992, -0.827
, 19.550, -0.056, 0.984, -0.860
, 19.600, -0.056, 0.992, -0.836
, 19.650, -0.049, 0.984, -0.836
, 19.700, -0.056, 0.984, -0.852
, 19.750, -0.064, 0.984, -0.852
, 19.800, -0.056, 0.984, -0.868
, 19.850, -0.049, 0.999, -0.852
, 19.900, -0.056, 0.984, -0.860
, 19.950, -0.049, 0.992, -0.877
, 20.000, -0.072, 0.984, -0.860
, 20.050, -0.056, 0.984, -0.852
, 20.100, -0.049, 0.999, -0.868
, 20.150, -0.056, 0.976, -0.860
, 20.200, -0.056, 0.984, -0.877
, 20.250, -0.056, 0.984, -0.844
, 20.300, -0.056, 0.992, -0.852
, 20.350, -0.056, 0.984, -0.860
, 20.400, -0.049, 0.992, -0.885
, 20.450, -0.049, 0.984, -0.860
, 20.500, -0.056, 0.992, -0.844
, 20.550, -0.056, 0.984, -0.860
, 20.600, -0.064, 0.976, -0.860
, 20.650, -0.064, 0.984, -0.852
, 20.700, -0.064, 0.984, -0.844
, 20.750, -0.056, 0.984, -0.852
, 20.800, -0.064, 0.984, -0.827
, 20.850, -0.064, 0.976, -0.844
, 20.900, -0.056, 0.999, -0.844
, 20.950, -0.056, 0.976, -0.827
, 21.000, -0.056, 0.976, -0.827
, 21.050, -0.072, 0.984, -0.803
, 21.100, -0.056, 0.984, -0.819
, 21.150, -0.056, 0.976, -0.819
, 21.200, -0.064, 0.984, -0.803
, 21.250, -0.056, 0.976, -0.770
, 21.300, -0.056, 0.961, -0.819
, 21.350, -0.056, 0.984, -0.762
, 21.400, -0.049, 0.961, -0.794
, 21.450, -0.064, 0.984, -0.803
, 21.500, -0.056, 0.969, -0.786
, 21.550, -0.056, 0.969, -0.786
, 21.600, -0.056, 0.969, -0.753
, 21.650, -0.056, 0.976, -0.770
, 21.700, -0.056, 0.976, -0.786
, 21.750, -0.056, 0.976, -0.770
, 21.800, -0.064, 0.976, -0.737
, 21.850, -0.056, 0.976, -0.762
, 21.900, -0.056, 0.976, -0.778
, 21.950, -0.064, 0.976, -0.786
, 22.000, -0.056, 0.984, -0.794
, 22.050, -0.056, 0.969, -0.803
, 22.100, -0.064, 0.976, -0.786
, 22.150, -0.056, 0.976, -0.811
, 22.200, -0.056, 0.976, -0.819
, 22.250, -0.056, 0.984, -0.819
, 22.300, -0.064, 0.984, -0.811
, 22.350, -0.064, 0.992, -0.803
, 22.400, -0.056, 0.976, -0.844
, 22.450, -0.064, 0.984, -0.827
, 22.500, -0.064, 0.984, -0.836
, 22.550, -0.056, 0.976, -0.836
, 22.600, -0.064, 0.984, -0.844
, 22.650, -0.064, 0.984, -0.852
, 22.700, -0.056, 0.984, -0.827
, 22.750, -0.064, 0.984, -0.836
, 22.800, -0.064, 0.984, -0.827
, 22.850, -0.056, 0.984, -0.844
, 22.900, -0.064, 0.984, -0.844
, 22.950, -0.064, 0.992, -0.836
, 23.000, -0.056, 0.984, -0.852
, 23.050, -0.056, 0.976, -0.860
, 23.100, -0.072, 0.999, -0.794
, 23.150, -0.056, 0.969, -0.852
, 23.200, -0.072, 0.969, -0.819
, 23.250, -0.072, 0.999, -0.827
, 23.300, -0.064, 0.976, -0.794
, 23.350, -0.064, 0.992, -0.893
, 23.400, -0.064, 0.976, -0.811
, 23.450, -0.080, 0.984, -0.770
, 23.500, -0.072, 0.992, -0.811
, 23.550, -0.072, 0.969, -0.811
, 23.600, -0.056, 0.984, -0.819
, 23.650, -0.056, 0.984, -0.836
, 23.700, -0.064, 0.976, -0.844
, 23.750, -0.080, 0.999, -0.811
, 23.800, -0.080, 0.984, -0.860
, 23.850, -0.056, 0.984, -0.918
, 23.900, -0.080, 0.984, -0.885
, 23.950, -0.064, 0.992, -0.885
, 24.000, -0.041, 0.984, -0.885
, 24.050, -0.072, 0.992, -0.901
, 24.100, -0.056, 0.992, -0.893
, 24.150, -0.064, 0.999, -0.918
, 24.200, -0.041, 1.007, -0.959
, 24.250, -0.056, 1.015, -0.942
, 24.300, -0.056, 0.984, -0.934
, 24.350, -0.041, 1.030, -0.877
, 24.400, -0.049, 0.953, -0.926
, 24.450, -0.072, 1.023, -0.951
, 24.500, -0.126, 0.969, -0.877
, 24.550, -0.072, 1.023, -0.901
, 24.600, -0.056, 0.961, -0.836
, 24.650, -0.056, 0.992, -0.811
, 24.700, -0.064, 0.953, -0.860
, 24.750, -0.087, 0.984, -0.885
, 24.800, -0.064, 0.976, -0.910
, 24.850, -0.049, 0.992, -0.836
, 24.900, -0.111, 1.030, -0.893
, 24.950, -0.095, 0.984, -0.910
, 25.000, -0.041, 0.961, -0.918
, 25.050, -0.072, 1.015, -0.901
, 25.100, -0.056, 1.007, -0.852
, 25.150, -0.064, 0.984, -0.910
, 25.200, -0.049, 0.976, -0.860
, 25.250, -0.041, 1.007, -0.910
, 25.300, -0.049, 0.999, -0.877
, 25.350, -0.064, 0.999, -0.819
, 25.400, -0.056, 0.976, -0.827
, 25.450, -0.049, 0.969, -0.877
, 25.500, -0.041, 0.999, -0.836
, 25.550, -0.072, 0.976, -0.819
, 25.600, -0.080, 0.969, -0.836
, 25.650, -0.080, 0.976, -0.778
, 25.700, -0.056, 0.984, -0.827
, 25.750, -0.064, 0.999, -0.786
, 25.800, -0.080, 0.992, -0.778
, 25.850, -0.064, 0.992, -0.811
, 25.900, -0.064, 0.992, -0.819
, 25.950, -0.056, 0.976, -0.803
, 26.000, -0.056, 0.984, -0.819
, 26.050, -0.056, 0.999, -0.852
, 26.100, -0.056, 0.969, -0.836
, 26.150, -0.064, 0.984, -0.836
, 26.200, -0.064, 0.984, -0.836
, 26.250, -0.056, 0.984, -0.836
, 26.300, -0.064, 0.976, -0.836
, 26.350, -0.064, 0.984, -0.877
, 26.400, -0.064, 0.976, -0.860
, 26.450, -0.064, 0.984, -0.844
, 26.500, -0.080, 0.984, -0.786
, 26.550, -0.064, 0.984, -0.770
, 26.600, -0.080, 0.976, -0.762
, 26.650, -0.080, 0.976, -0.786
, 26.700, -0.072, 0.976, -0.803
, 26.750, -0.072, 0.984, -0.811
, 26.800, -0.072, 0.969, -0.819
, 26.850, -0.064, 0.976, -0.819
, 26.900, -0.064, 0.976, -0.827
, 26.950, -0.080, 1.007, -0.836
, 27.000, -0.072, 0.969, -0.860
, 27.050, -0.072, 1.007, -0.827
, 27.100, -0.080, 0.976, -0.844
, 27.150, -0.072, 0.984, -0.844
, 27.200, -0.080, 0.992, -0.852
, 27.250, -0.072, 0.976, -0.860
, 27.300, -0.087, 0.992, -0.852
, 27.350, -0.064, 0.992, -0.794
, 27.400, -0.072, 0.984, -0.836
, 27.450, -0.080, 0.976, -0.794
, 27.500, -0.087, 0.992, -0.770
, 27.550, -0.033, 0.992, -0.836
, 27.600, -0.041, 1.015, -0.614
, 27.650, -0.234, 0.760, -1.756
, 27.700, -0.002, 0.984, -0.655
, 27.750, -0.103, 0.999, -0.745
, 27.800, -0.072, 0.953, -0.762
, 27.850, -0.010, 0.999, -0.712
, 27.900, -0.033, 0.945, -0.803
, 27.950, 0.021, 0.984, -0.803
, 28.000, -0.041, 0.953, -0.786
, 28.050, -0.141, 0.976, -0.868
, 28.100, -0.080, 0.992, -0.778
, 28.150, -0.033, 0.953, -0.745
, 28.200, -0.010, 0.984, -0.811
, 28.250, -0.002, 0.876, -0.753
, 28.300, -0.165, 0.999, -0.712
, 28.350, -0.041, 0.976, -0.803
, 28.400, -0.080, 0.969, -0.794
, 28.450, -0.064, 0.999, -0.712
, 28.500, -0.072, 0.999, -0.811
, 28.550, -0.064, 0.976, -0.918
, 28.600, -0.072, 0.953, -0.811
, 28.650, -0.064, 1.015, -0.770
, 28.700, -0.072, 0.976, -0.860
, 28.750, -0.072, 0.992, -0.811
, 28.800, -0.064, 0.992, -0.786
, 28.850, -0.080, 0.992, -0.868
, 28.900, -0.041, 0.961, -0.811
, 28.950, -0.064, 0.992, -0.868
, 29.000, -0.080, 0.976, -0.786
, 29.050, -0.056, 0.999, -0.811
, 29.100, -0.072, 0.976, -0.836
, 29.150, -0.056, 0.969, -0.827
, 29.200, -0.072, 1.007, -0.794
, 29.250, -0.072, 0.976, -0.819
, 29.300, -0.072, 0.984, -0.844
, 29.350, -0.056, 0.976, -0.836
, 29.400, -0.072, 0.969, -0.860
, 29.450, -0.064, 0.999, -0.844
, 29.500, -0.080, 0.984, -0.819
, 29.550, -0.072, 0.992, -0.844
, 29.600, -0.064, 0.976, -0.836
, 29.650, -0.080, 0.984, -0.836
, 29.700, -0.056, 0.992, -0.819
, 29.750, -0.072, 0.984, -0.803
, 29.800, -0.087, 0.969, -0.819
, 29.850, -0.056, 0.992, -0.786
, 29.900, -0.064, 0.976, -0.844
, 29.950, -0.064, 0.984, -0.811
, 30.000, -0.072, 0.976, -0.811
, 30.050, -0.072, 0.984, -0.786
, 30.100, -0.056, 0.969, -0.819
, 30.150, -0.064, 0.976, -0.811
, 30.200, -0.056, 0.976, -0.803
, 30.250, -0.072, 0.999, -0.762
, 30.300, -0.049, 0.976, -0.827
, 30.350, -0.080, 0.969, -0.778
, 30.400, -0.064, 0.976, -0.778
, 30.450, -0.056, 0.976, -0.786
, 30.500, -0.056, 0.984, -0.794
, 30.550, -0.056, 0.976, -0.786
, 30.600, -0.056, 0.984, -0.803
, 30.650, -0.056, 0.984, -0.778
, 30.700, -0.064, 0.976, -0.786
, 30.750, -0.064, 0.976, -0.786
, 30.800, -0.056, 0.961, -0.729
, 30.850, -0.072, 0.945, -0.679
, 30.900, -0.072, 0.922, -0.449
, 30.950, -0.111, 0.899, -0.153
, 31.000, -0.157, 0.891, 0.184
, 31.050, -0.211, 0.845, 0.488
, 31.100, -0.242, 0.876, 0.644
, 31.150, -0.188, 0.837, 0.529
, 31.200, -0.211, 0.822, 0.439
, 31.250, -0.242, 0.814, 0.488
, 31.300, -0.219, 0.891, 0.455
, 31.350, -0.265, 0.799, 0.439
, 31.400, -0.226, 0.938, 0.628
, 31.450, -0.188, 0.845, 0.398
, 31.500, -0.118, 0.814, 0.324
, 31.550, -0.157, 0.860, 0.209
, 31.600, -0.203, 0.914, 0.496
, 31.650, -0.226, 0.876, 0.406
, 31.700, -0.226, 0.830, 0.365
, 31.750, -0.273, 0.791, 0.521
, 31.800, -0.203, 0.884, 0.603
, 31.850, -0.165, 0.799, 0.431
, 31.900, -0.157, 0.876, 0.513
, 31.950, -0.087, 0.675, 0.250
, 32.000, -0.141, 0.706, 0.126
, 32.050, -0.219, 0.884, 0.324
, 32.100, -0.141, 0.922, 0.406
, 32.150, -0.149, 0.938, 0.644
, 32.200, -0.304, 0.830, 0.439
, 32.250, -0.335, 0.969, 0.159
, 32.300, -0.134, 0.559, -0.359
, 32.350, -0.165, 1.061, 0.455
, 32.400, -0.087, 0.876, -0.063
, 32.450, -0.203, 0.776, 0.242
, 32.500, 0.005, 0.853, -0.342
, 32.550, -0.180, 1.046, -0.087
, 32.600, -0.049, 0.961, -0.400
, 32.650, -0.072, 0.783, -0.490
, 32.700, -0.056, 0.953, -1.189
, 32.750, -0.049, 1.254, -0.885
, 32.800, -0.018, 0.513, -0.951
, 32.850, 0.059, 1.254, -0.679
, 32.900, -0.165, 0.637, -0.794
, 32.950, -0.149, 0.652, -1.189
, 33.000, 0.021, 1.208, -0.918
, 33.050, 0.044, 1.131, -0.811
, 33.100, -0.180, 1.023, -0.934
, 33.150, -0.165, 0.922, -0.885
